,Triangle_index,Size,Angle.C,Angle.B,Angle.A,Side.A_B,SideC_A,Side.B_C,Total_size,Hand,Vision,Type,Angle.Type,Full.Type,duration,Trial_number,subjID,subjposC_x,subjposC_y,AC_angle,AC_dist,SubjAC_angle,SubjAC_dist,DistError,AngleError,M1AE,M1DE,M2AE,M2DE,EEMAE,EEMDE
119,24,10,60,90,30,8.660254038,10,5,23.66025404,LH,on,right,right,60-90-30,34.2213,27,AT09,4.265,-8.9051,334.4084204,9.872418617,330.77942,6.226519003,0.630698438,3.629000324,22.62059218,0.878583399,-4.858587235,0.496033477,68.61159314,0.678687997
120,25,10,60,75,45,8.965754722,10,7.320508076,26.2862628,LH,on,scale,acute,60-75-45,33.4959,19,AT09,7.1122,-7.0841,314.8865895,10.08182734,329.7172039,6.450493992,0.639813972,-14.83061442,25.93471959,0.934741559,-7.297889663,0.667076963,47.32135998,0.767690676
121,26,10,45,90,45,7.071067812,10,7.071067812,24.14213562,LH,on,iso-right,iso-right,45-90-45,25.0869,25,AT09,5.9168,-6.7743,318.8654308,8.993987074,301.405507,8.747652634,0.972611208,17.45992381,23.49342614,0.925586567,2.988941789,0.547246231,50.38382229,0.710252202
122,27,10,60,60,60,10,10,10,30,LH,on,equil,acute,60-60-60,44.2873,26,AT09,8.0808,-5.6766,305.0872721,9.761300876,273.9878392,9.814880083,1.005488941,31.09943285,32.68172129,0.98890327,29.03789955,0.544291034,35.15207558,0.900728343
123,0,10,60,100,20,8.793852416,10,3.472963553,22.26681597,RH,off,scale,obtuse,60-100-20,39.0695,18,AT10,2.8964,9.208,197.4611022,9.619857505,284.1381459,4.896583472,0.509007901,86.67704365,138.6222269,0.243541394,170.3349212,0.595025324,30.89178659,0.257931969
124,1,10,30,120,30,5.773502692,10,5.773502692,21.54700538,RH,off,iso,obtuse,30-120-30,38.2546,6,AT10,4.7892,8.6605,208.9423075,9.834970335,300.3649024,5.536242426,0.562913993,91.42259485,114.3581922,0.215050597,-173.3769207,0.550047346,87.69430316,0.196741177
125,2,10,45,105,30,7.320508076,10,5.176380902,22.49688898,RH,off,scale,obtuse,45-105-30,52.6981,1,AT10,3.9664,8.21,205.7860313,9.062729078,309.6561377,5.942496268,0.655707151,103.8701064,133.7104036,0.178435416,-174.3179439,0.617626863,45.94395765,0.162229836
126,3,10,60,90,30,8.660254038,10,5,23.66025404,RH,off,right,right,60-90-30,40.6119,3,AT10,4.6866,8.8191,207.9868366,9.987285014,18.28939416,3.535043843,0.353954437,170.3025576,120.0013425,0.252858231,178.2706361,0.613749418,2.760104405,0.098583091
127,4,10,60,75,45,8.965754722,10,7.320508076,26.2862628,RH,off,scale,acute,60-75-45,46.3699,26,AT10,6.6757,7.1049,223.2160863,9.778448995,11.30910463,5.566972226,0.569310351,148.0930184,74.45632958,0.298533781,159.9460832,0.852747898,-20.2747392,0.144154809
128,5,10,45,90,45,7.071067812,10,7.071067812,24.14213562,RH,off,iso-right,iso-right,45-90-45,38.5007,16,AT10,6.3492,6.8686,222.7496917,9.348738029,194.2636559,7.291355491,0.779929384,-28.48603586,86.03725537,0.2791781,174.6250673,0.640842542,34.19902168,0.104354908
129,6,10,60,60,60,10,10,10,30,RH,off,equil,acute,60-60-60,54.9086,24,AT10,8.3196,5.3794,237.1135504,9.932789811,0.479618622,7.736451654,0.778880033,123.3660682,80.46893169,0.301441578,143.5286494,0.624780169,-38.53651109,0.038960727
130,7,10,60,100,20,8.793852416,10,3.472963553,22.26681597,LH,off,scale,obtuse,60-100-20,37.3734,8,AT10,3.0854,-9.5767,342.1422125,10.02248641,181.2552706,6.701919373,0.668688297,160.8869419,141.0526409,0.40871687,175.0961757,0.541192078,14.35206795,0.197678306
131,9,10,45,105,30,7.320508076,10,5.176380902,22.49688898,LH,off,scale,obtuse,45-105-30,41.1255,4,AT10,4.7666,-8.1762,329.7584663,9.446646392,35.75249225,3.448638829,0.36506488,-65.99402595,110.5048779,0.339847353,163.0017193,0.609384766,51.34570552,0.121349224
132,10,10,60,90,30,8.660254038,10,5,23.66025404,LH,off,right,right,60-90-30,39.9639,13,AT10,4.5102,-8.8306,332.9444758,9.918628437,171.5470094,6.194227672,0.624504458,161.3974664,88.42509415,0.301862685,155.8102018,0.756980273,15.50660592,0.194326077
133,11,10,60,75,45,8.965754722,10,7.320508076,26.2862628,LH,off,scale,acute,60-75-45,44.9335,20,AT10,7.1435,-7.0133,314.4730659,9.999607297,147.9052289,8.239333717,0.823965729,166.5678371,85.08566,0.279788065,158.0718956,0.629337291,2.675811436,0.176788522
134,12,10,45,90,45,7.071067812,10,7.071067812,24.14213562,LH,off,iso-right,iso-right,45-90-45,38.5796,17,AT10,7.0895,-7.028,314.7504042,9.979628952,137.573382,6.352317701,0.636528445,177.1770223,102.8866049,0.481953672,165.0883447,0.533624203,-21.8178226,0.078950212
135,13,10,60,60,60,10,10,10,30,LH,off,equil,acute,60-60-60,52.7196,14,AT10,8.2567,-5.4274,303.3182321,9.90877918,125.9552543,9.569324726,0.965742051,177.3629779,76.00290236,0.310947014,150.6205625,0.593905445,-22.54426956,0.093844806
136,14,10,60,100,20,8.793852416,10,3.472963553,22.26681597,RH,on,scale,obtuse,60-100-20,34.0783,7,AT10,2.7777,9.0956,196.9821168,9.44882921,184.5364196,3.5163662,0.37214835,-12.44569724,112.4106559,0.225599655,161.6682899,0.667678542,12.33231872,0.122430418
137,15,10,30,120,30,5.773502692,10,5.773502692,21.54700538,RH,on,iso,obtuse,30-120-30,41.5161,2,AT10,4.5913,8.8108,207.5239796,9.930850124,327.3457248,7.337047952,0.738813683,119.8217452,82.17775831,0.114651911,165.6866504,0.681359386,60.69732841,0.256471693
138,16,10,45,105,30,7.320508076,10,5.176380902,22.49688898,RH,on,scale,obtuse,45-105-30,30.358,25,AT10,4.0152,8.7491,204.6516777,9.600266701,299.5933093,5.210481753,0.542743438,94.94163155,112.1122727,0.297208204,177.4068149,0.629488785,14.50538762,0.234480122
139,17,10,60,90,30,8.660254038,10,5,23.66025404,RH,on,right,right,60-90-30,33.7031,27,AT10,3.6554,8.6629,202.8778146,9.389903958,315.6964976,8.003397647,0.852340736,112.818683,113.1522355,0.208086564,175.599298,0.833018,6.126889974,0.194631222
