"","Triangle_index","Size","Angle.C","Angle.B","Angle.A","Side.A_B","SideC_A","Side.B_C","Total_size","Hand","Vision","Type","Angle.Type","Full.Type","duration","Trial_number","subjID","DistError","AngleError","M1AE","M1DE","M2AE","M2DE","EEMAE","EEMDE"
"61",13,10,60,60,60,10,10,10,30,"LH","off","equil","acute","60-60-60",48.809,12,"AT05",1.012011797,12.17362512,42.8146658218843,1.00971347684837,3.01403848933188,1.01532615870336,49.1747628214661,0.838828421979352
"62",14,10,60,100,20,8.793852416,10,3.472963553,22.26681597,"RH","on","scale","obtuse","60-100-20",21.1545,17,"AT05",0.5434883,16.24863269,10.5411434557537,0.59660606367193,8.24597335314618,0.756615181556818,91.5360779482022,0.509538756383116
"63",15,10,30,120,30,5.773502692,10,5.773502692,21.54700538,"RH","on","iso","obtuse","30-120-30",20.4176,26,"AT05",0.604894306,1.798495143,13.6003667176868,0.878735367981109,9.49054601216687,0.90173505092301,82.4842064050527,0.412766547088486
"64",16,10,45,105,30,7.320508076,10,5.176380902,22.49688898,"RH","on","scale","obtuse","45-105-30",24.2375,19,"AT05",0.568960548,42.88344988,18.0698249890025,0.604747599900841,10.7799813041941,0.990621615599662,87.1795464785497,0.517850216974447
"65",18,10,60,75,45,8.965754722,10,7.320508076,26.2862628,"RH","on","scale","acute","60-75-45",29.6091,24,"AT05",0.868394093,30.70459356,22.8346084875067,0.810207693200263,13.8433386239674,0.929425736434173,57.5163715404737,0.762315535514992
"66",19,10,45,90,45,7.071067812,10,7.071067812,24.14213562,"RH","on","iso-right","iso-right","45-90-45",27.3203,18,"AT05",0.673398935,46.78956516,34.4219615367422,0.86252906563406,4.23042465920636,0.91108705489125,68.94966603818,0.611562945384465
"67",20,10,60,60,60,10,10,10,30,"RH","on","equil","acute","60-60-60",31.9667,27,"AT05",0.900507798,79.82853074,43.8521662697209,1.04027043877441,12.0453175665901,0.956406479806184,44.549291982944,0.825423635639787
"68",21,10,60,100,20,8.793852416,10,3.472963553,22.26681597,"LH","on","scale","obtuse","60-100-20",20.4511,25,"AT05",0.319862127,-1.708684837,1.9304357346486,0.565785323754423,11.6979120105094,0.82680645417568,83.9941390984085,0.49925676948908
"69",22,10,30,120,30,5.773502692,10,5.773502692,21.54700538,"LH","on","iso","obtuse","30-120-30",23.2211,11,"AT05",0.75938362,-27.68983482,6.7937608858374,0.891457931873501,9.55648869814405,0.903205218037431,77.8499924162658,0.391291013132231
"70",23,10,45,105,30,7.320508076,10,5.176380902,22.49688898,"LH","on","scale","obtuse","45-105-30",37.5622,4,"AT05",0.656347587,2.781232509,17.4382232729705,0.611834831655198,12.2032147144396,1.01414068352415,78.8818050906631,0.544082281962544
"71",24,10,60,90,30,8.660254038,10,5,23.66025404,"LH","on","right","right","60-90-30",29.1741,21,"AT05",0.723890434,29.34260919,27.6540529762199,0.612143983411756,10.1686131127918,0.945328158660533,75.7975365079111,0.710817789618073
"72",25,10,60,75,45,8.965754722,10,7.320508076,26.2862628,"LH","on","scale","acute","60-75-45",43.4935,2,"AT05",0.797195714,1.855798914,31.4840105563103,0.64651107501876,7.71338222900897,0.906500896342123,58.8104553318561,0.770064304972094
